Start,End,Holiday
12/31/2022,1/2/2023,English New Year
1/4/2023,1/4/2023,Gaan-Ngai
1/11/2023,1/11/2023,Missionary Day
1/12/2023,1/12/2023,Swami Vivekananda Jayanti
1/14/2023,1/15/2023,Makara Sankranti
1/15/2023,1/15/2023,Pongal
1/15/2023,1/15/2023,Magh Bihu
1/16/2023,1/16/2023,Thiruvalluvar Day
1/16/2023,1/16/2023,Kanuma Panduga
1/17/2023,1/17/2023,Guru Gobind Singh Jayanti
1/17/2023,1/17/2023,Uzhavar Thirunal
1/22/2023,1/22/2023,Sonam Losar
1/23/2023,1/23/2023,Netaji Subhas Chanda Bose Jayanti
1/25/2023,1/26/2023,Vasant Panchami
1/26/2023,1/26/2023,Republic Day
2/4/2023,2/4/2023,Hazrat Ali Jayanti
2/5/2023,2/5/2023,Thaipoosam
2/15/2023,2/15/2023,Lu-Ngai-Ni
2/18/2023,2/19/2023,Maha Shivaratri
2/19/2023,2/19/2023,Chhatrapati Shivaji Maharaj Jayanti
2/24/2023,2/24/2023,Guru Ravidas Jayanti
3/1/2023,3/1/2023,Chapchar Kut
3/5/2023,3/5/2023,Panchayatiraj Divas
3/7/2023,3/8/2023,Yaosang
3/7/2023,3/7/2023,Doljatra
3/8/2023,3/8/2023,Holi
3/22/2023,3/22/2023,Bihar Day
3/23/2023,3/23/2023,S. Bhagat Singh's Martyrdom Day
3/30/2023,3/30/2023,Ram Nabami
4/1/2023,4/1/2023,Odhisha Day
4/5/2023,4/5/2023,Jumat-ul-Wida
4/6/2023,4/6/2023,Maundy Thrusday
4/7/2023,4/7/2023,Good Friday
4/18/2023,4/18/2023,Shab-i-Qadr
4/9/2023,4/9/2023,Easter
4/9/2023,4/9/2023,Ugadi
4/10/2023,4/11/2023,Idul Fitr
4/14/2023,4/14/2023,Dr. Ambedkar Jayanti
4/14/2023,4/14/2023,Bengali New Year
4/14/2023,4/20/2023,Bohag Bihu
4/21/2023,4/21/2023,Vaisakh
4/21/2023,4/21/2023,Mahavir Jayanti
5/1/2023,5/1/2023,May Day
5/5/2023,5/5/2023,Buddha Purnima
5/8/2023,5/8/2023,Guru Rabindra Jayanti
5/10/2023,5/10/2023,Basava Jayanti
5/24/2023,5/24/2023,Kazi Nazrul Islam Jayanti
6/9/2023,6/9/2023,Maharana Pratap Jayanti
6/22/2023,6/22/2023,Sant Guru Kabir Jayanti
6/28/2023,6/29/2023,Bakrid
7/13/2023,7/13/2023,Martyr's Day
7/19/2023,7/19/2023,Muharram
7/20/2023,7/20/2023,Ratha Yatra
7/31/2023,7/31/2023,Shaheed Udham Singh's Martyrdom Day
8/15/2023,8/15/2023,Independence Day
8/26/2023,8/26/2023,Janmashtami
8/30/2023,8/30/2023,Raksha Bandhan
9/18/2023,9/18/2023,Sree Narayana Guru Jayanti
9/19/2023,9/28/2023,Ganesh Chaturthi
9/20/2023,9/29/2023,Onam
9/25/2023,9/25/2023,Ramdev Jayanti
9/26/2023,9/27/2023,Eid e Miland
9/31/2023,    9/31/2023,Thiruvonam
10/2/2023,10/2/2023,Gandhi Janyanti
10/3/2023,10/3/2023,Maharaja Agrasen Jayanti
10/14/2023,10/14/2023,Mahalaya Amavasye
10/20/2023,10/24/2023,Durga Puja 
10/28/2023,10/28/2023,Lakshmi Puja
10/17/2023,10/17/2023,Maharishi Valmiki Jayanti
11/12/2023,11/12/2023,Diwali
11/15/2023,11/15/2023,Bhai Dooj
11/17/2023,11/20/2023,Chhath Puja
11/27/2023,11/27/2023,Guru Nanak Jayanti 
12/24/2023,12/27/2023,Christmas 
12/31/2023,1/2/2024,English New Year
1/11/2024,1/11/2024,Missionary Day
1/12/2024,1/12/2024,Swami Vivekananda Jayanti
1/14/2024,1/15/2024,Makara Sankranti
1/15/2024,1/15/2024,Pongal
1/15/2024,1/15/2024,Magh Bihu
1/16/2024,1/16/2024,Thiruvalluvar Day
1/16/2024,1/16/2024,Kanuma Panduga
1/17/2024,1/17/2024,Guru Gobind Singh Jayanti
1/17/2024,1/17/2024,Uzhavar Thirunal
1/23/2024,1/23/2024,Gaan-Ngai
1/23/2024,1/23/2024,Netaji Subhas Chanda Bose Jayanti
1/25/2024,1/25/2024,Thaipoosam
1/25/2024,1/25/2024,Hazrat Ali Jayanti
1/26/2024,1/26/2024,Republic Day
2/10/2024,2/10/2024,Sonam Losar
2/14/2024,2/10/2024,Vasant Panchami
2/14/2024,2/14/2024,Lu-Ngai-Ni
2/19/2024,2/19/2024,Chhatrapati Shivaji Maharaj Jayanti
2/24/2024,2/24/2024,Guru Ravidas Jayanti
3/1/2024,3/1/2024,Chapchar Kut
3/5/2024,3/5/2024,Panchayatiraj Divas
3/8/2024,3/8/2024,Maha Shivaratri
3/22/2024,3/22/2024,Bihar Day
3/23/2024,3/23/2024,S. Bhagat Singh's Martyrdom Day
3/25/2024,3/25/2024,Holi
3/25/2024,3/26/2024,Yaosang
3/25/2024,3/25/2024,Doljatra
3/28/2024,3/28/2024,Maundy Thrusday
3/29/2024,3/29/2024,Good Friday
3/30/2024,3/31/2024,Easter
4/1/2024,4/1/2024,Odhisha Day
4/5/2024,4/5/2024,Jumat-ul-Wida
4/7/2024,4/7/2024,Shab-i-Qadr
4/9/2024,4/9/2024,Ugadi
4/10/2024,4/11/2024,Idul Fitr
4/13/2024,4/13/2024,Vaisakh
4/14/2024,4/14/2024,Dr. Ambedkar Jayanti
4/14/2024,4/14/2024,Bengali New Year
4/14/2024,4/15/2024,Bohag Bihu
4/17/2024,4/17/2024,Ram Nabami
4/21/2024,4/21/2024,Mahavir Jayanti
5/1/2024,5/1/2024,May Day
5/8/2024,5/8/2024,Guru Rabindra Jayanti
5/10/2024,5/10/2024,Basava Jayanti
5/23/2024,5/23/2024,Buddha Purnima
5/24/2024,5/24/2024,Kazi Nazrul Islam Jayanti
6/9/2024,6/9/2024,Maharana Pratap Jayanti
6/17/2024,6/18/2024,Bakrid
6/22/2024,6/22/2024,Sant Guru Kabir Jayanti
7/7/2024,7/7/2024,Ratha Yatra
7/13/2024,7/13/2024,Martyr's Day
7/17/2024,7/17/2024,Muharram
7/31/2024,7/31/2024,Shaheed Udham Singh's Martyrdom Day
8/15/2024,8/15/2024,Independence Day
8/19/2024,8/19/2024,Raksha Bandhan
8/26/2024,8/26/2024,Janmashtami
9/7/2024,9/8/2024,Ganesh Chaturthi
9/13/2024,9/13/2024,Ramdev Jayanti
9/14/2024,9/14/2024,Onam
9/15/2024,9/15/2024,Thiruvonam
9/16/2024,9/16/2024,Eid e Miland
9/18/2024,9/18/2024,Sree Narayana Guru Jayanti
10/2/2024,10/2/2024,Mahalaya Amavasye
10/2/2024,10/2/2024,Gandhi Janyanti
10/3/2024,10/3/2024,Maharaja Agrasen Jayanti
10/10/2024,10/13/2024,Durga Puja 
10/16/2024,10/17/2024,Lakshmi Puja
10/17/2024,10/17/2024,Maharishi Valmiki Jayanti
10/31/2024,11/2/2024,Diwali
11/3/2024,11/3/2024,Bhai Dooj
11/7/2024,11/7/2024,Chhath Puja
11/15/2024,11/15/2024,Guru Nanak Jayanti 
12/24/2025,12/27/2024,Christmas 
12/31/2024,1/2/2025,English New Year
1/6/2025,1/6/2025,Guru Gobind Singh Jayanti
1/11/2025,1/11/2025,Missionary Day
1/12/2025,1/12/2025,Swami Vivekananda Jayanti
1/14/2025,1/14/2025,Makara Sankranti
1/14/2025,1/14/2025,Pongal
1/14/2025,1/14/2025,Magh Bihu
1/14/2025,1/14/2025,Hazrat Ali Jayanti
1/15/2025,1/15/2025,Thiruvalluvar Day
1/16/2025,1/16/2025,Kanuma Panduga
1/23/2025,1/23/2025,Netaji Subhas Chanda Bose Jayanti
1/26/2025,1/26/2025,Republic Day
1/30/2025,1/30/2025,Sonam Losar
2/2/2025,2/2/2025,Vasant Panchami
2/11/2025,2/11/2025,Thaipoosam
2/12/2025,2/12/2025,Guru Ravidas Jayanti
2/15/2025,2/15/2025,Lu-Ngai-Ni
2/19/2025,2/19/2025,Chhatrapati Shivaji Maharaj Jayanti
2/26/2025,2/26/2025,Maha Shivaratri
